Sat May 21 03:01:41.867 2022 : CtMain::main processing for command=/ call show 
Sat May 21 03:01:41.867 2022 : Entering LinuxControllerExplorer::explore 
Sat May 21 03:01:41.867 2022 : Entering LinuxControllerExplorer::getCtrlCount
Sat May 21 03:01:41.867 2022 : LinuxControllerExplorer::getCtrlCount _hDvr=4 _hDvrSwr =-1
Sat May 21 03:01:41.867 2022 : LinuxControllerExplorer::getCtrlCount kernelVer=1 
Sat May 21 03:01:41.867 2022 : cli_sysfs_scan_for_new_devices: classpath = /sys/class/scsi_host

Sat May 21 03:01:41.867 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host0

Sat May 21 03:01:41.867 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host0

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host0/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = megaraid_sas


Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: megaraid_sas driver found

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host0/device

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path /sys/class/scsi_host/host0/device is link
Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: devicedir = /sys/devices/pci0000:17/0000:17:02.0/0000:19:00.0/host0

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: host_no = 0

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: domain=0, bus=25 slot=0 func=0

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host1

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host1

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host1/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host2

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host2

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host2/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host3

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host3

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host3/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host4

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host4

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host4/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host5

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host5

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host5/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host6

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host6

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host6/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host7

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host7

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host7/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host8

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host8

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host8/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host9

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host9

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host9/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host10

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host10

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host10/proc_name

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host11

Sat May 21 03:01:41.868 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host11

Sat May 21 03:01:41.868 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host11/proc_name

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host12

Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host12

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host12/proc_name

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host13

Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host13

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host13/proc_name

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices: direntry->d_name = host14

Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host14

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: path = /sys/class/scsi_host/host14/proc_name

Sat May 21 03:01:41.869 2022 : cli_get_adapter_map: drvname = ahci


Sat May 21 03:01:41.869 2022 : cli_sysfs_scan_for_new_devices:  Exiting rval 0xFFFFFFFF

Sat May 21 03:01:41.869 2022 : controller count as per dev node list=1 
Sat May 21 03:01:41.869 2022 : LinuxControllerExplorer::explore ctrlCount=1
Sat May 21 03:01:41.869 2022 : returning LinuxControllerExplorer::explore ctrlIdListPtr
Sat May 21 03:01:41.869 2022 : SlItControllerExplorer::explore - Entering
Sat May 21 03:01:41.869 2022 : StorelibItDp::processLibCommand SL request sent
Sat May 21 03:01:41.871 2022 : StorelibItDp::processLibCommand SL responded with retcode=0
Sat May 21 03:01:41.871 2022 : StorelibItDp::processLibCommand SL request sent
Sat May 21 03:01:41.871 2022 : StorelibItDp::processLibCommand SL responded with retcode=0
Sat May 21 03:01:41.871 2022 : SlItControllerExplorer::explore - Getting the StoreLIB instance for SAS3.5 IT controller
Sat May 21 03:01:41.871 2022 : StorelibItDp::processLibCommand SL request sent
Sat May 21 03:01:41.885 2022 : StorelibItDp::processLibCommand SL responded with retcode=0
Sat May 21 03:01:41.885 2022 : SlItControllerExplorer::explore - Issuing SL_GET_CTRL_LIST to SLIT
Sat May 21 03:01:41.885 2022 : StorelibItDp::processLibCommand SL request sent
Sat May 21 03:01:41.885 2022 : StorelibItDp::processLibCommand SL responded with retcode=0
Sat May 21 03:01:41.885 2022 : SlItControllerExplorer::explore - Issuing SL_GET_CTRL_LIST to SLIT - retCode:0x0
Sat May 21 03:01:41.885 2022 : SlItControllerExplorer::explore - Controller count:0
Sat May 21 03:01:41.885 2022 : LinuxMfiDataProvider::fireIoctl DCMD=1010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.886 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.886 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.886 2022 : LinuxMfiDataProvider::fireIoctl DCMD=10e8481 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.886 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.886 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.888 2022 : initializing the RaidManager Instance 
Sat May 21 03:01:41.888 2022 : LinuxMfiDataProvider::fireIoctl DCMD=1010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::initialize
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::getPdList
Sat May 21 03:01:41.889 2022 : Entering MfiData::getMrPdList
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010000 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010000 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.889 2022 : Exiting MfiData::getMrPdList, PD count = 14
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createPd
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::getPdList
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::initialize
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::initialize
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::createAdapter
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::createAdapter
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::getUncfgPdList
Sat May 21 03:01:41.889 2022 : Entering MfiData::getMrPdList
Sat May 21 03:01:41.889 2022 : Entering MfiData::getMrCfgData
Sat May 21 03:01:41.889 2022 : Entering AdapterDataMfi::isSupportMrArrayExt
Sat May 21 03:01:41.889 2022 : Entering AdapterDataMfi::getCtlrInfo
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl DCMD=1010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.889 2022 : Exiting AdapterDataMfi::getCtlrInfo retCode = 0
Sat May 21 03:01:41.889 2022 : Exiting  AdapterDataMfi::isSupportMrArrayExt
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl DCMD=4010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl DCMD=4010000 mbox.w[0]=1 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.889 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.889 2022 : Logical drive count = 12, Spare count = 0
Sat May 21 03:01:41.889 2022 : Exiting MfiData::getMrCfgData 
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::getUncfgPdList- getMrCfgData - retCode:0
Sat May 21 03:01:41.889 2022 : Entering AdapterDataMfi::isSupportMrArrayExt
Sat May 21 03:01:41.889 2022 : Entering AdapterDataMfi::getCtlrInfo
Sat May 21 03:01:41.889 2022 : Exiting  AdapterDataMfi::isSupportMrArrayExt
Sat May 21 03:01:41.889 2022 : Exiting RmDataMfi::getUncfgPdList
Sat May 21 03:01:41.889 2022 : Entering RmDataMfi::getSystemPdList
Sat May 21 03:01:41.890 2022 : Entering MfiData::getMrSystemPdList
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010100 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2010100 mbox.w[0]=0 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.890 2022 : Exiting MfiData::getMrSystemPdList PD count = 14,  retCode = 0
Sat May 21 03:01:41.890 2022 : RmDataMfi::getSystemPdList slotNumber= 0, deviceId=8
Sat May 21 03:01:41.890 2022 : Entering RmDataMfi::getPd using deviceId
Sat May 21 03:01:41.890 2022 : Entering RmDataMfi::searchPd using deviceId
Sat May 21 03:01:41.890 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=8 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.897 2022 : Drive deviceID=8 (PdDataMfi::getMrPdInfo) retCode=0
Sat May 21 03:01:41.897 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat May 21 03:01:41.897 2022 : Exiting RmDataMfi::getPd using deviceId
Sat May 21 03:01:41.897 2022 : Drive deviceID=8 (PdDataMfi::getFwState) value=0
Sat May 21 03:01:41.897 2022 : RmDataMfi::getSystemPdList slotNumber= 0, deviceId=9
Sat May 21 03:01:41.897 2022 : Entering RmDataMfi::getPd using deviceId
Sat May 21 03:01:41.897 2022 : Entering RmDataMfi::searchPd using deviceId
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=9 mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.897 2022 : Drive deviceID=9 (PdDataMfi::getMrPdInfo) retCode=0
Sat May 21 03:01:41.897 2022 : Exiting RmDataMfi::searchPd using deviceId
Sat May 21 03:01:41.897 2022 : Exiting RmDataMfi::getPd using deviceId
Sat May 21 03:01:41.897 2022 : Drive deviceID=9 (PdDataMfi::getFwState) value=24
Sat May 21 03:01:41.897 2022 : RmDataMfi::getSystemPdList slotNumber= 1, deviceId=10
Sat May 21 03:01:41.897 2022 : Entering RmDataMfi::getPd using deviceId
Sat May 21 03:01:41.897 2022 : Entering RmDataMfi::searchPd using deviceId
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl DCMD=2020000 mbox.w[0]=a mbox.w[1]=0 mbox.w[2]=0
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl send_ioctl retcode=0 cmdStatus=0
Sat May 21 03:01:41.897 2022 : LinuxMfiDataProvider::fireIoctl returning with =0 errno=19
Sat May 21 03:01:41.897 2022 : Drive deviceID=10 (PdDataMfi::getMrPdInfo) retCode=0
